Geneid,log2FoldChange,padj
Trmt61a,0.742251828,1.70E-16
Nop14,0.505539046,2.49E-16
Nfkbie,-1.092219438,1.01E-15
Tcof1,0.489944916,2.20E-14
Noc2l,0.438108539,2.20E-14
Crebl2,-1.125266284,2.20E-14
Ldha,0.948156752,2.86E-14
Tbrg4,0.515806897,2.87E-14
Birc3,-1.294610725,5.32E-14
Pes1,0.431144877,5.65E-14
Emd,0.711729368,1.12E-13
U2af2,0.493649583,1.65E-13
Ddx27,0.458644775,1.95E-13
Tfap4,0.613360191,2.25E-13
Pnrc1,-0.66977378,3.78E-13
Aars,0.452214855,3.86E-13
Tnip1,-0.696480409,6.03E-13
Exosc10,0.303135062,6.71E-13
Fbxw7,-0.933364272,8.62E-13
Angptl6,1.166326779,8.62E-13
Chic1,-1.278543248,8.62E-13
Snora7a,1.738323653,1.24E-12
Wwp2,0.398784789,1.38E-12
2010111I01Rik,0.893592372,1.70E-12
Ube2h,-0.441678807,2.37E-12
Ppp1r15a,1.267112523,2.48E-12
Sgk1,-1.327237086,2.87E-12
2610203C20Rik,-1.781403877,3.18E-12
Tmem132b,-1.402185066,3.21E-12
Apobec3,-1.278945946,4.04E-12
Alg11,-1.387979898,4.74E-12
Bmf,-1.455064588,6.18E-12
Mier3,-1.247639101,6.38E-12
Gpr146,-1.360160691,6.51E-12
Cgnl1,-1.355643882,6.54E-12
Bop1,0.667341802,7.01E-12
E2f4,0.38948554,7.01E-12
Shmt2,0.512182373,7.19E-12
Clec9a,-0.830613039,7.19E-12
Eif3c,0.468605538,9.56E-12
Csf1,-0.477657331,1.06E-11
Id3,1.089293195,1.11E-11
Ampd3,-1.4736727,1.21E-11
Ybx1,0.645366748,1.39E-11
Tra2b,0.717825584,1.41E-11
9230112E08Rik,-1.335569995,1.44E-11
Cmpk2,-1.204987021,1.69E-11
Lonp1,0.500067636,1.69E-11
Cstf3,-0.877700006,1.69E-11
Cflar,-1.034690685,1.86E-11
Nfe2l2,-0.921637824,1.96E-11
Hspa9,0.355323344,3.24E-11
Gm22107,1.905686853,3.54E-11
Chpf2,-1.08775943,3.67E-11
Polr2j,0.949199766,4.67E-11
Ppp5c,0.477088829,5.35E-11
Slc7a3,0.604373537,5.70E-11
Adh7,0.537911294,5.81E-11
Nrbp1,0.549409275,5.81E-11
Cd300lb,-1.547509495,6.26E-11
Prmt5,0.417627536,6.26E-11
Slc3a2,0.786840773,6.26E-11
Ier3,-1.750881152,6.57E-11
mt-Tp,1.400113404,6.72E-11
Idh1,-0.605959355,6.79E-11
Psph,0.680294527,6.79E-11
Nod2,-1.288042756,6.79E-11
Fam98a,-0.732397295,7.03E-11
Kdsr,-0.62088945,7.52E-11
Ppm1k,-1.043956695,7.52E-11
Itfg2,0.456348979,7.78E-11
Tgds,-0.566514435,8.20E-11
Trap1,0.451777195,8.20E-11
Nsun2,0.393649816,8.81E-11
Asna1,0.574479659,8.81E-11
Apex1,0.689524961,1.05E-10
Zfp217,-1.492709583,1.05E-10
Atf6b,0.368820598,1.05E-10
Tpi1,0.834737565,1.06E-10
Gapdh,0.826193219,1.06E-10
Thap2,-1.560874522,1.21E-10
Atic,0.391159939,1.22E-10
Slc19a1,0.401139001,1.23E-10
Psmd2,0.384251141,1.23E-10
Cox17,-1.468558032,1.25E-10
Tcf25,0.509396638,1.61E-10
Rsbn1l,-0.774516075,1.83E-10
Srf,0.544543786,2.04E-10
Rab12,-0.84883516,2.08E-10
Noc4l,0.476347594,2.08E-10
Cenpt,0.747382361,2.08E-10
Kars,0.518351517,2.10E-10
Eif3b,0.468779808,2.16E-10
Smg5,0.402236752,2.19E-10
Slc30a5,-0.509584957,2.22E-10
Pfkl,0.860082039,2.23E-10
Rhov,1.426214691,2.23E-10
Cnnm3,-0.794938248,2.28E-10
Arrdc3,-1.5619501,2.47E-10
Stx2,-0.559433629,2.47E-10
Ndrg1,0.456811892,2.54E-10
Nme6,0.895171324,2.56E-10
Dcun1d2,-0.707657226,2.72E-10
Srm,0.810417536,2.76E-10
1110004F10Rik,0.337500009,2.76E-10
Smarca4,0.365075845,2.79E-10
Mon1b,-0.939051746,3.38E-10
Nle1,0.553944937,3.44E-10
Slc29a1,0.635767284,3.87E-10
Timm50,0.689929137,3.91E-10
Frmd8,-0.492199969,3.95E-10
Stip1,0.358868342,3.95E-10
Gm28373,1.454508366,4.00E-10
Pgk1,0.836016457,4.00E-10
Fam222b,-1.609153618,4.38E-10
Klhl42,-1.000718504,4.41E-10
Zfp9,-0.969668048,4.50E-10
Mterf2,-1.137931352,4.63E-10
Letm1,0.320417305,4.63E-10
Sema4b,-0.786980726,4.63E-10
Icam1,-0.649722076,4.73E-10
Pea15a,0.568424958,4.90E-10
Adsl,0.464343616,4.90E-10
Naaa,0.498030171,4.90E-10
Fam83g,-0.704733397,5.08E-10
Sox7,-1.620939163,5.42E-10
AI464131,-0.697736849,5.47E-10
Rcor2,0.462274608,5.97E-10
1700017B05Rik,-1.323635502,5.97E-10
Tmem2,-1.603186651,5.98E-10
Tmem50b,-0.561951163,6.41E-10
Zfp120,-0.638803704,6.94E-10
Tgfbi,0.442065414,7.11E-10
Rnf126,0.697610412,7.19E-10
Gpi1,0.732003961,7.27E-10
Gm11974,1.081424383,7.32E-10
Stam2,-0.443515481,7.36E-10
Klhl12,-0.502192302,7.77E-10
Fam162a,1.016147304,7.77E-10
RP24-328P2.5,-1.128991996,7.77E-10
Klf13,-0.778912638,7.77E-10
Nop10,1.068323826,7.95E-10
3110043O21Rik,-0.540426291,7.99E-10
Aldoa,0.747983659,8.12E-10
Nxpe3,-0.918742681,8.81E-10
Tmem68,-0.47433111,9.87E-10
Slc35e4,0.583459639,1.00E-09
Rtp4,-1.148971537,1.00E-09
Pex14,0.679649612,1.00E-09
Farsa,0.354889435,1.00E-09
Fkbp4,0.660998816,1.04E-09
Ecsit,0.580199502,1.08E-09
Rab5c,0.441453917,1.13E-09
Nme4,0.877752856,1.16E-09
Zfp334,-1.169162206,1.16E-09
Eif2ak2,-0.651217306,1.19E-09
Pcsk4,0.831921174,1.20E-09
C1qtnf6,0.651777945,1.30E-09
Arfgap3,-0.495019467,1.33E-09
Gm37352,-1.652061075,1.40E-09
Irgm2,-1.598063251,1.46E-09
Prkaa1,-0.401201012,1.48E-09
Eif2b5,0.482119588,1.48E-09
Tbc1d23,-0.432359329,1.48E-09
Otub1,0.840241978,1.48E-09
Cox6a2,1.465162434,1.48E-09
Mgat4a,-0.952299482,1.52E-09
